,Country,Date Start,Description of measure implemented
1461,South Korea,"Mar 28, 2020",Violation of Self-isolation: maximum 1 year imprisonment or 10 million won (= USD830) penalty
1336,Japan,"Mar 28, 2020",Avoid to go normal medical centre if you feel asymptomatic- instead please visit local returnee and contact outpatient medical centre for testing. Please wear mask and follow handwash and coughing etiquettes when visiting any medical facilities. 
1469,Bosnia and Herzegovina,"Mar 28, 2020",On 28 March 2020 the National Assembly declared the state of emergency in Republika Srpska.
1400,US:New York,"Mar 28, 2020",Self-quarantines for persons who test positive or are symptomatic are not enforced due to a lack of resources. Several New York City area nurses have expressed concerns that patients are not complying with self-quarantine guidelines due to financial necessity or fear of losing their job
1685,US: Rhode Island,"Mar 28, 2020","Gatherings in the state are further restricted, with any gathering of over five people banned"
108,Hong Kong,"Mar 28, 2020","Kitchee announced on Saturday that all footballers of its first team will self-isolate and be tested for Covid-19, after the spouse of a staffer at the club tested positive for the coronavirus."
109,Hong Kong,"Mar 28, 2020",Officers had been put under quarantine after they were classified as close contacts of a policewoman who was confirmed with the coronavirus infection recently. They have been sent to quarantine centres in Fo Tan and Lei Yue Mun.
1689,US: Rhode Island,"Mar 28, 2020","Governor Raimondo enacts a ""stay at home"" order for all Rhode Islanders who are not travelling to purchase food, household supplies, medicine, or gasoline, or are going for a recreational walk alone"
1490,Finland,"Mar 28, 2020","On 27 March the Parliament voted unanimously to close the borders of the Uusimaa region, which has the most confirmed cases, in hopes of slowing down the epidemic in the rest of the country. The restriction came into force the following midnight. Uusimaa has 1.7 million inhabitants, nearly one third of Finland's total population, and contains the capital city Helsinki. Travel to and from Uusimaa is prohibited without a valid reason and several hundred police officers are enforcing the restriction with the assistance of the Finnish Defence Forces."
1462,US:New York,"Mar 28, 2020","Cuomo announced that the state would allow two patients to share one ventilator using a technique he called ""splitting"" where a second set of tubes would be added to the ventilator"
1424,Georgia,"Mar 27, 2020",South Ossetian de facto authorities close down the Kartsmani crossing point in Imereti to prevent Georgians from entering the breakaway republic out of fear for the outbreak.
1479,Ireland,"Mar 27, 2020",Shielding or cocooning of those over 70 years of age or who are in specific categories of vulnerable people will be introduced.
1585,US: Massachussets,"Mar 27, 2020",Governor Baker asked travelers from out of state to avoid Massachusetts or to self-quarantine upon arrival for 14 days
1443,US:Alabama,"Mar 27, 2020","all ""non-essential businesses"" in the state were ordered to be closed until April 17,"
112,Hong Kong,"Mar 27, 2020","The ban on more than four people getting together in public places will apply both indoors and outdoors for two weeks from Sunday, with offenders liable to a fine of up to HK$25,000 and six months in prison.
Restaurants are being ordered to slash the maximum number of customers they can host at any one time by 50 percent, with a cap of four people at each table, and with tables placed at least 1.5 metres apart from each other.
Cinemas, gyms, amusement game centres and other entertainment venues are being told to close from 6pm on Saturday."
1474,Ireland,"Mar 27, 2020","On 27 March the government announced people must stay at home until 12 April from the following midnight with the following exemptions:
to travel to and from work (where work is essential);
shopping for food or household goods
to attend medical appointments or collect medicines or related products
for vital family reasons, such as caring for a relative
to take brief exercise within 2km of home
farming purposes, such as food production or care of animals"
1475,Ireland,"Mar 27, 2020",All public or private gatherings of any number of people outside a residence are prohibited.
1476,Ireland,"Mar 27, 2020","More non-essential shops and services will be closed, adult community education centers and local community centres will be shut."
1368,Namibia,"Mar 27, 2020","The 21-day lockdown will apply to the Khomas and Erongo regions specifically, and the country's borders will also be closed for travellers."
1477,Ireland,"Mar 27, 2020","All non-essential surgery, health procedures and other non-essential health services will be postponed."
1496,Estonia,"Mar 27, 2020",On 27 March Emergency Committee decided to tighten quarantine rules in Saaremaa and Muhu: majority of shops will be closed and new movement restrictions are introduced.
1478,Ireland,"Mar 27, 2020","All visits to hospitals, other residential healcare facilities and prisons will cease, with specific exemptions on compassionate grounds."
111,Hong Kong,"Mar 27, 2020","Two medical staff had to be placed in quarantine after a patient they had attended, a 22-year-old policewoman  subsequently tested positive for the new coronavirus and refused to wear face mask."
1338,Japan,"Mar 26, 2020","Japanese government set up a task force to combat the virus under new legislation- closure of large gathering (including schools)work from home, prioritise hospitalisation bases on severity symptom"
1344,Kazakhstan,"Mar 26, 2020","On 26 March, Kazakhstan confirmed the first case of death from COVID-19."
1390,US:New York,"Mar 26, 2020","Cuomo announced that the state would allow two patients to share one ventilator using a technique he called ""splitting"" where a second set of tubes would be added to the ventilator. COVID-19 patients need ventilators for between 11 to 21 days, while under normal circumstances patients usually only require them for three to four days. He also said the state was considering converting anesthesia machines to use as ventilators"
1565,US:Colorado,"Mar 26, 2020","Govenor Jared Polis put the state of Colorado in complete lock-down, with a stay-at-home order"
1088,Singapore,"Mar 26, 2020","Bars and entertainment venues like clubs, cinemas, etc. are closed"
1658,US:Kentucky,"Mar 26, 2020",all non-life-sustaining businesses must cease all in-person services
1090,Singapore,"Mar 26, 2020",All religious services and congregations suspended
1261,Singapore,"Mar 26, 2020",Advisory against holding or attending social events with >10 people
1092,Singapore,"Mar 26, 2020",Advisory against holding or attending social events with >10 people
1551,US:Arkansas,"Mar 26, 2020",Gatherings of more than 10 people both indoor and outdoor are prohibited
1552,US:Arkansas,"Mar 26, 2020",Gatherings of people exempt from the limit of 10 people (e.g. places of worship) are advised to maintain social distancing of at least 6 feet
1659,US:Kentucky,"Mar 26, 2020",all bussinesses permitted to operate must practice recommended social distancing and hygienic measures
114,Hong Kong,"Mar 26, 2020",Around 120 people linked to four bars in Lan Kwai Fong and Wan Chai are to be quarantined after 16 coronavirus cases were tied to the entertainment venues.
1091,Singapore,"Mar 26, 2020","All events and mass gatherings (e.g. conferences, exhibitions, festivals, concerts, trade fairs) cancelled"
1377,South Africa,"Mar 26, 2020","On 23 March, President Cyril Ramaphosa addressed the nation and announced a 21-day national lockdown effective from midnight 26 March through to 16 April"
1089,Singapore,"Mar 26, 2020",All tuition and enrichment classes suspended
1375,South Africa,"Mar 26, 2020","On 23 March 2020, Ramaphosa issued a national stay-at-home order lasting 21 days from 26 March 2020 to 16 April 2020."
1087,Singapore,"Mar 26, 2020",Public venues should make sure there is at least 1 metre of space between people
1643,US:Iowa,"Mar 26, 2020","closure of more retail establishments including, bookstores; clothing and shoe stores; jewelry stores; luggage stores; cosmetic, perfume and beauty supply stores; furniture stores; florists; and home furnishing stores. All will close through April 7."
1048,US: Indiana,"Mar 25, 2020",All public and private gatherings of any number of people occurring outside a single household or living unit are prohibited
1421,,"Mar 25, 2020",A direct 24-hour hotline was set up
1047,US: Indiana,"Mar 25, 2020",all individuals currently living within the State of Indiana are ordered to stay at home or at their place of residence
1435,Uganda,"Mar 25, 2020",Toll free line for case reporting
119,Hong Kong,"Mar 25, 2020","- Hong Kong is to close its borders to many non-residents of the city for 14 days from Wednesday.
Non-residents arriving from the mainland, Macau or Taiwan will still be allowed in, as long as they hadn't been anywhere else in the world in the past 14 days. This applies to citizens as well as foreigners. But those coming from Macau and Taiwan will also have to go into quarantine for 14 days – a rule that had already been imposed on arrivals from everywhere else, including the mainland. In addition, Macau residents who have been in other countries over the past 14 days will still be allowed to fly into Hong Kong airport, but will be taken straight to their home city by coach.
"
1046,US: Indiana,"Mar 25, 2020","All travel, including, but not limited to, travel by automobile, motorcycle, scooter, bicycle, train, plane, or public transit, except Essential Travel and Essential Activities as defined herein, is prohibited."
1450,US:Alaska,"Mar 25, 2020",everyone arriving in Alaska to self-quarantine for 14 days upon arrival
1519,Czechia,"Mar 25, 2020","As of 25 March 2020, from 00.00 hours, all persons are prohibited from being present in retail outlets over 500 m2 between 08.00 and 10.00, except for persons over 65 years of age."
1385,US:New Jersey,"Mar 25, 2020","A hotline had been set up for New Jersey workers to report employers for making them go to work despite the emergency declaration, but it got so many calls that it crashed the system"
1031,US: Indiana,"Mar 25, 2020",All non-essential businesses are closed 
115,Hong Kong,"Mar 25, 2020","The government has also proposed amending laws to prohibit 8,600 licenced restaurants and bars from selling alcohol in an effort to promote social distancing. Lam added the measure aims to prevent viral transmission in intimate settings."
113,Hong Kong,"Mar 25, 2020",The 281 returnees from Hubei were allowed to go home to self-isolate for two weeks with phone based location tracing. Screening was done before departure. The government claimed none of them is tested positive or have symptoms. 
1369,Namibia,"Mar 25, 2020",The parliament will be suspended for 21 days.
1618,Brazil,"Mar 25, 2020","The action reinforces the prevention work carried out by the municipal government, with the objective of preventing the proliferation of the coronavirus (Covid-19). In addition to the four mobile sirens, the 20 sets of the Alert and Alarm System installed in 12 communities in Petrópolis also emit guidance messages. The equipment plays in the neighborhoods daily at 10, 16 and 20h."
1158,Poland,"Mar 25, 2020","Non-essential travel was prohibited, with exception for travelling to work or home, SARS-CoV-2 control related activities, or ""necessary everyday activities"". Everyday activities qualifying as ""necessary"" included shopping, buying medicines, visiting doctors, walking dogs, jogging, cycling and walking, provided that no more than two people participate contact with others is avoided. The restrictions were initially defined for the period from 25 March to 11 April inclusive."
1157,Poland,"Mar 25, 2020","Poland's government announced further restrictions on people leaving their homes and on public gatherings to further limit the spread of SARS-CoV-2 infections. The new limits constrained gatherings by default to a maximum of two people, with an exception for families); an exception for religious gatherings, such as mass in the Catholic Church, funerals and marriages in which five participants and the person conducting the ceremony were allowed to gather; and an exception for work places."
1654,US:Kansas,"Mar 25, 2020",all public or private mass gatherings of more than 10 banned
1337,Japan,"Mar 25, 2020",Japanese government encourages all citizen to refrain non-essential outdoor activities and comply social distancing from this weekend. 
1263,Singapore,"Mar 25, 2020","39,000 tests total, or 6,800 per million people"
1635,US:Hawaii,"Mar 25, 2020",Statewide Stay-at-Home Order
1637,US:Hawaii,"Mar 25, 2020",gathering of more than 10 people is prohibited
1619,Brazil,"Mar 25, 2020",The city continues to advise residents to stay in their homes.
1422,,"Mar 24, 2020",Suspension of all inter-city buses
1506,Iceland,"Mar 24, 2020","From 00:00 on 24 March, a nation-wide ban on public assemblies over 20 took effect."
1508,Iceland,"Mar 24, 2020","closed, as did any businesses requiring a proximity of less than 2 m (hairdressers, tattoo artists, etc.)."
1516,Czechia,"Mar 24, 2020","When contacting others, keep a distance of at least 2 meters, if possible."
1517,Czechia,"Mar 24, 2020","From 24 March 2020 at 06.00, it is possible to stay in publicly accessible places for a maximum of two persons, with the exception of household members, occupation, business or other similar activity or participation in a funeral. "
1264,Singapore,"Mar 24, 2020","2803 close contacts currently quarantined, 8,822 close contacts quarantined so far"
1370,Namibia,"Mar 24, 2020","The public is urged to remain at home and avoid public gatherings at places such as bars, shebeens, nightclubs and markets."
1688,US: Rhode Island,"Mar 24, 2020","The three towns located on Aquidneck Island - Newport, Middletown, and Portsmouth - all implement shelter-in-place orders"
1132,Slovakia,"Mar 24, 2020","In any row that is created anywhere, people will have to stand at least two meters apart. This is true in shops at the checkout, in offices, inside and outside."
1681,US: Rhode Island,"Mar 24, 2020",shelter-in-place order for Block Island effective March 24
1436,Uganda,"Mar 24, 2020",Entry of any person or animal to Uganda prohibited
1131,Slovakia,"Mar 24, 2020","The wearing of masks will be mandatory wherever you live. ""Not only on the street, but also in the shop, at work, in the factory, in the office, everywhere."""
840,Bosnia and Herzegovina,"Mar 24, 2020","On 24 March 2020, Council of Ministers of Bosnia and Herzegovina issued a decision which bans entrance for all foreigners, and also from 30 March 2020 all borders at airports in Bosnia and Herzegovina will be closed for passengers, and airplanes could land only to deliver cargo."
1160,Portugal,"Mar 24, 2020",On 24 March the Portuguese Government admitted that the country could not contain anymore the COVID-19 as it is wide spreading and will enter the Mitigation Phase on 26 March.
984,US:Delaware,"Mar 24, 2020",non essential businnesses to shut down
1687,US: Rhode Island,"Mar 24, 2020",Travelers entering Rhode Island from T. F. Green Airport are required to self-quarantine for 14 days
1507,Iceland,"Mar 24, 2020","All swimming pools, museums, libraries and bars closed,"
1494,Estonia,"Mar 24, 2020","On 24 March Government Emergency Committee decided that at least 2 meters distance between people should be kept in public places,"
1353,Cyprus,"Mar 24, 2020","→Ban on unnecessary movement from 06.00 PM of March 24, 2020 until April 13, 2020,
except:
• Transfer to and from the workplace.
• Transfer for the purposes of supplies of basic necessities from businesses or shops
whose operation is allowed and given that shipping is not possible.
• Visit to doctor or transit to a pharmacy.
• Visit to a bank if electronic transactions are not possible.
• Transit with the purpose to aid fellow citizens who cannot look after themselves or
to groups of people who must be protected, or who are in self-isolation and/or in premises
of compulsory isolation (quarantine).
• First and second degree relatives going to ceremonies, such as funerals, weddings
and christenings, not exceeding ten people.
• Transit for physical exercise or for the needs of a pet, provided they are not more
than two people and they remain limited in areas adjacent to their residence."
1359,Cyprus,"Mar 24, 2020","also prohibited is the Easter custom of “lighting a bonfire” and the
immediate removal of timber or of other materials already assembled for this
purpose is ordered. The responsibility to implement the ban lies with the local
authorities in cooperation with the Police."
1358,Cyprus,"Mar 24, 2020","→Open markets, bazaars and itinerant sales are prohibited."
1356,Cyprus,"Mar 24, 2020","it is prohibited for citizens to attend places of religious worship, such as
churches, mosques and other places of prayer; and"
1355,Cyprus,"Mar 24, 2020","All retailers shall suspend their operations, except from the businesses that are included in
the Decree issued by the Minister of Health"
1599,Brazil,"Mar 24, 2020",Mechanical Turk data n=70
1481,Ireland,"Mar 24, 2020","On 24 March, it was announced that the state would take control of all private hospital facilities for the duration of the coronavirus pandemic."
1401,US:New York,"Mar 24, 2020","Dr. Deborah Birx, the White House coronavirus response coordinator, advised people who have left New York City to self-quarantine for 14 days"
1617,Brazil,"Mar 24, 2020","The six cemeteries in the Federal District, managed by Campo da Esperança Serviços Ltda., Have adopted specific protocols to avoid crowding people and prevent further cases of transmission of the new coronavirus. One of the measures foresees that patients who die as a result of the disease caused by the microorganism, Covid-19, will not be able to have a funeral ceremony at the DF units, only the burial, in compliance with a protocol defined by local Executive bodies."
1586,US: Massachussets,"Mar 24, 2020","The Commissioner of Public Health issued emergency regulations for grocery stores and pharmacies. A daily senior shopping hour, checkout line distancing markers, hand washing and sanitizer for employees, disinfecting wipes for customers to use on carts"
1130,Slovakia,"Mar 24, 2020","Pensioners over the age of 65 will only be able to shop at a time specifically designed for them, namely from 9:00 to 12:00. ""These are special opening hours for the most vulnerable people,"" the Prime Minister said."
1495,Estonia,"Mar 24, 2020",up to two people are allowed to gather in public space
1170,United Kingdom,"Mar 24, 2020","On 24 March, text messages containing a notice informing of these restrictions were sent to all wireless service customers in the country. The campaign was performed in cooperation with the country's wireless providers; in 2013, the government endorsed the use of Wireless Emergency Alerts (WEA), a system implemented in other countries that can send emergency messages to all mobile phones via a mass broadcast separate from text messages, as an ""effective way of getting people to take specific protective action during an emergency"". Although it has been tested by the UK government, it has never actually been implemented, with Toby Harris citing internal disputes over who would fund and operate such a system"
1621,Brazil,"Mar 24, 2020","president Bolsonaro declared that the routine in the country must return to reality and that the Brazilian press spread the panic around the coronavirus, which he called again ""little flu"". Speaking on radio and television, Bolsonaro also criticized governors for determining quarantine – with trade and border closures – and questioned why schools were closed.[139][140] Politicians and authorities reacted to President Jair Bolsonaro's pronouncement about the coronavirus pandemic on Tuesday night (24). The president called for ""a return to normal"", an end to ""mass confinement"" and said that the media had spread ""dread""."
1119,Slovakia,"Mar 24, 2020","3 hospitals specialized for coronavirus patients. The Ministry of Health should allocate one hospital in the east, one in the center of the country and one in Bratislava specifically for the treatment of people infected with coronavirus."
1579,US: Massachussets,"Mar 24, 2020",Governor Baker declared schools closed until May 4
1352,Cyprus,"Mar 24, 2020","Furthermore, as of 6 p.m. of the 24th of March 2020 until the 13th of April 2020, the
following places will also be closed:
• Parks.
• Playgrounds.
• Open-air sport spaces.
• Public gathering areas, among others, squares, dams, excursion sites, beaches,
marinas."
59,Japan,"Mar 24, 2020",2020 Tokyo Olympic postponed for a year
1669,US:Louisiana,"Mar 23, 2020","places of public amusement, personal care, malls closed"
857,Mexico,"Mar 23, 2020",Voluntary social distancing program by the Health Ministry commences
1667,US:Louisiana,"Mar 23, 2020",Stay-at-home order
1444,US:Alabama,"Mar 23, 2020",statewide hotline and email for COVID-19 information
1668,US:Louisiana,"Mar 23, 2020",gatherings of 10 people or more banned
1171,United Kingdom,"Mar 23, 2020","On the evening of 23 March, Prime Minister Boris Johnson announced in a television broadcast that measures to mitigate the virus were to be tightened further, with wide-ranging restrictions made on freedom of movement, enforceable in law,[28] for a planned ""lockdown"" period intended to last for at least three weeks. The government directed people to stay at home throughout this period except for essential purchases, essential work travel (if remote work is not possible), medical needs, one exercise per-day (alone or with members of their household), and providing care for others.[107] Many other non-essential activities, including all public gatherings and social events except funerals, are prohibited, with many categories of retail businesses ordered to be closed."
969,South Korea,"Mar 23, 2020","40 Walk-in thru testing facilities installed across Incheon Airport-  only takes 7-8 min per person for testing, medical professional roam across the conjoined booths (each booth is 1 (patient) on 1 (medical profession) with installed UV rays and negative room pressures, inter-phone. This prevents airs from leaking,  medical professions direct contact with potential patients and protective gear shortage. Also, it saves disinfecting time after each tests. "
142,Taiwan,"Mar 23, 2020","A man, who was supposed to be doing 14 days mandatory self-isolation at home after returning from Southeast Asia, was fined TW$1 million for going clubbing "
586,US: Florida,"Mar 23, 2020",Florida State University announced that classes will be moved online
1526,US: Pennsylvania,"Mar 23, 2020","Governor Wolf issued additional stay at home orders for seven counties: Allegheny, Bucks, Chester, Delaware, Montgomery, Monroe"
1683,US: Rhode Island,"Mar 23, 2020",The 2020 Rhode Island Democratic primary is postponed from April 28 to June 2
972,South Korea,"Mar 23, 2020",Paju- Gyeong-gi Province (Northwest of South Korea) ban passengers boarding on taxi without wearing masks- all taxis must have hand sanitizer all the time & disinfecting taxi bays regularly 
1098,South Korea,"Mar 23, 2020",strengthened social distancing in religious facilities and businesses for 15 days- no face-to-face religious services. 
1154,Netherlands,"Mar 23, 2020","If any member of a family is ill, the entire family should stay home, apart from people in an essential profession."
1660,US:Kentucky,"Mar 23, 2020","all in-person retail businesses that are not life-sustaining will close effective Monday, March 23"
1319,Nepal,"Mar 23, 2020",The Minister of Health declared that all patients of COVID-19 would be rescued as necessary and provided free treatment.
1582,US: Massachussets,"Mar 23, 2020",Governor Baker announced his stay-at-home advisory
1581,US: Massachussets,"Mar 23, 2020",Nonessential businesses are ordered to close physical workplaces.
1580,US: Massachussets,"Mar 23, 2020",social distancing protocols should be followed
56,Singapore,"Mar 23, 2020",All short-term visitors banned
1563,US:Colorado,"Mar 23, 2020","closure of ""nonessential"" businesses"
1330,Germany,"Mar 23, 2020",the government decided on a financial aid package totaling around 750 billion Euros to mitigate the damage of the coronavirus outbreak on the economy with Germany planning to take on new debt for the first time since 2013
1324,Nepal,"Mar 23, 2020",Nepal decided to close its land border with India and China for a week effective from 23 March.
1323,Nepal,"Mar 23, 2020",Kailali District was reported to have declared an indefinite lock-down effective from 2 pm. Arghakhanchi District also declared an indefinite lock-down.
1156,Netherlands,"Mar 23, 2020","Services which involve direct contact with others, such as hairdressers and nail bars, are closed until April 6. Casinos are also being closed down"
1011,Greece,"Mar 23, 2020","On 22 March, the Greek government announced a ban on all nonessential transport and movement across the country, starting from 6 a.m on 23 March until 6 April. Movement is permitted only for a prescribed set of reasons that include moving to or from the workplace during normal business hours, shopping for food or medicine, visiting a doctor or assisting a person in need of help, exercising out individually or in pairs or walking a pet, attending a ceremony (wedding, baptism, funeral etc), and cases of divorced parents moving to ensure communication with their children. People returning to their permanent places of residence will also be exempt. Citizens leaving their home are required to carry their ID or passport with them, as well as some type of certification explaining the reason for their movement which has to be confirmed by their employer or by themselves. The options include filling in a special form that can be downloaded from the government website http://forma.gov.gr/, sending a free SMS to the number 13033, or explaining their reason in a signed handwritten declaration. The information needed include the name, home address, time of departure from home, and the specific reason for transport that falls under one of the exceptions. Members of the government and parliament as well as all Health, Civil Protection, Law Enforcement and Armed Forces personnel were excluded from the measure. The Hellenic Police, the Municipal Police, the Hellenic Coast Guard and the National Transparency Authority are enforced to implement the restrictions and issue fines of 150 euros for each offense."
85,Slovenia,"Mar 23, 2020",Slovenia has introduced legislation providing employers with partial reimbursement of salary costs for employees who are sent home to wait for work or placed in official quarantine.
1307,Nepal,"Mar 23, 2020",vehicular movement on long routes would be closed from 23 March.
1151,Netherlands,"Mar 23, 2020","All gatherings to be banned up to June 1, but an exception will be made for funerals and church weddings. Mayors have the power to close areas where people gather in larger groups, such as parks and beaches. People who do not stick to the rules can be fined €400.
Read more at http://dutchnews.nl/:"
1152,Netherlands,"Mar 23, 2020","People should remain home unless they have to go out to work, to do shopping or to care for other people. You can go out for a walk to get some fresh air, but not in a group. Keep 1.5 metres away from other people. No more than three people should visit in your home at the same time, and only then if they can keep 1.5 metres apart"
123,Hong Kong,"Mar 23, 2020","39 new virus patients on Mar 23, including a doctor from the Department of Health. Among the newly confirmed infections, at least 30 patients had been overseas recently, with some of them students, foreign domestic helpers and airline workers.
Those believed to have contracted the illness locally include a second musician working in the Lan Kwai Fong entertainment district, and a 32-year-old man who had recently visited the ICBC Tower branch of Pure Fitness."
604,Russia,"Mar 23, 2020","Russian schools will go on a three-week vacation from March 23 to April 12 to prevent the spread of coronavirus, Education Minister Sergei Kravtsov."
127,Hong Kong,"Mar 23, 2020","The government said five people who breached the new compulsory quarantine measures - including two who removed or cut off electronic wristbands - have been detained and sent to quarantine centres and police are looking for 36 people who left their homes without permission. It urged members of the public to report any breaches of quarantine.
It said offenders face a maximum prison term of six months and a HK$25,000 fine. Meanwhile, 36 people have left their dwelling places without permission. Police have placed them on the wanted list and will continue to search for them."
125,Hong Kong,"Mar 23, 2020",The Hong Kong Football Association has announced that it will suspend its Hong Kong Premier League fixtures for three weeks because of the recent increase of Covid-19 infection cases in the city.
1155,Netherlands,"Mar 23, 2020","Shops and public transport companies must take measures to ensure people remain 1.5 metres apart. Companies which do not comply can be fined €4,000."
1308,Nepal,"Mar 22, 2020",All international flights would be stopped from 22 March to 31 March
1164,Slovakia,"Mar 22, 2020","The entire gynecological department of the University hospital in Ruzinov, Bratislava was closed today, after it was discovered that a doctor has recently returned from abroad"
1382,Germany,"Mar 22, 2020",Restaurants and services like hairdressers were to be closed
1388,US:New York,"Mar 22, 2020","Trump announced that he had directed Federal Emergency Management Agency to provide four large federal medical stations with 1,000 beds for New York"
746,Germany,"Mar 22, 2020","the government and the federal states agreed for at least two weeks to forbid gatherings of more than two people and require a minimum distance of 1.5 metres (4 ft 11 in) between people in public except for families, partners or people living in the same household. Restaurants and services like hairdressers were to be closed"
1133,Greece,"Mar 22, 2020",All flights to and from Greeece banned starting Sunday 22 March
1467,Bosnia and Herzegovina,"Mar 22, 2020","On 21 March 2020, a curfew was introduced for the entire Federation of Bosnia and Herzegovina every day from 18:00 until 05:00, and its implementation started on 22 March 2020.[70] On 29 March 2020, time for curfew was changed to 20:00 until 05:00.[66]"
747,Germany,"Mar 22, 2020","Saxony joined Bavaria and the Saarland in prohibiting residents from leaving their dwellings except for good reasons, which are similar to the ones in the other two states; outdoor exercise is permitted under the new rules only alone or in groups of maximal five members of the same household"
1325,Nepal,"Mar 22, 2020",The government also declared a Rs 500 million fund with contributions of a month's salary from government ministers. It also increased the allowances for health workers working at the front desks of hospitals by 50–100%.
1472,Bosnia and Herzegovina,"Mar 22, 2020",curfew was introduced in entire Brčko District every day from 21:00 until 05:00.
1321,Nepal,"Mar 22, 2020",Kanchanpur and Banke Districts declared lockdowns
1470,Bosnia and Herzegovina,"Mar 22, 2020","Since 22 March 2020, it is prohibited in Brčko District to gather and move in public places and open or closed public areas in a group of three or more persons throughout the day,"
1493,Andorra,"Mar 22, 2020","On 22 March, an 88-year-old man became the first confirmed death in the country as the number of cases rose to 112."
895,Palestine,"Mar 22, 2020","Prime Minister Shtayyeh announced a ban for 2 more weeks on movement between and inside of Palestinian cities for two weeks as of 10:00 PM with the exception of health facilities, pharmacies, bakeries, and grocery stores."
1096,South Korea,"Mar 22, 2020","Facilities High risk of infection: religious, sport (martial arts and gym), clubs, bars and restaurants ban from operation. "
1527,US: Pennsylvania,"Mar 22, 2020","On March 22, Philadelphia Mayor Jim Kenney issued a stay-at-home order for the city"
1682,US: Rhode Island,"Mar 22, 2020","The state orders all entertainment and recreation businesses, barber shops, hair salons, and tattoo shops to close"
122,Hong Kong,"Mar 22, 2020","44 more confirmed, takes the total number of confirmed cases here to 317.
29 out of the 44 new cases had recently come back to Hong Kong from abroad, including nine students who had just returned to HK."
1010,Greece,"Mar 22, 2020","On the same day, it was also announced that daytime public transport services will be limited, although ensuring sufficient service during business hours. Journeys by car are only permitted for the specific exemptions, and the driver may only have one passenger in the vehicle. In addition, all parks, recreation areas and marinas were closed."
1014,Greece,"Mar 22, 2020","On the same day, the government announced the closure of all hotels across the country, from midnight on March 22 and until the end of April. Only hotels that accommodate personnel that guard the border will continue to operate, as well as three hotels in Athens and Thessaloniki and one hotel per regional unit will remain open."
1097,South Korea,"Mar 22, 2020","If non-essential businesses unavoidably have to open, must comply- regular sanitizing, maintain social distance and wear mask. Failure to comply will result in penalty of 3000 USD and compensate disinfecting fees when positive patients occur. "
1583,US: Massachussets,"Mar 22, 2020",Governor Baker instructed people on mainland Massachusetts with second homes in Nantucket and Dukes County to stay on the mainland
